,PM2.5_Stationary
195,0.0
196,0.0
197,0.044451742807996686
198,0.04255959630286166
199,0.0
200,-0.08701133911085834
201,-0.14660340242157588
202,-0.17185015824250538
203,0.0
204,-0.2076392205475759
205,0.37948937879008127
206,0.23361474153243422
207,-0.08701133911085834
208,-0.09531013434980118
209,0.0
210,0.0
211,0.0
212,0.04879014035991991
213,0.04651999398988127
214,0.16705401473312553
215,0.0
216,0.43078278147711224
217,-0.1625188853801398
218,-0.12516310373833206
219,-0.10536047862080211
220,-0.07696101150651025
221,-0.12783331696445355
222,-0.09531013434980118
223,-0.0512932680717747
224,-0.05406719203052546
225,0.05406719203052546
226,0.0512932680717747
227,0.13976187715779786
228,-0.4964366068109462
229,0.7282381309132833
230,0.27029024807024493
231,0.0
232,-0.02666823996978751
233,-0.02739896668060915
234,-0.057158397500084
235,0.028987528469893498
236,0.10821355533621135
237,0.39688128042032744
238,0.5142678986359634
239,0.2536027357061368
240,-0.016129380629070322
241,0.07061756167071609
242,0.0444517592770266
243,0.10318422913094016
244,0.11122562823028037
245,0.11583180912892299
246,0.020619286139810455
247,0.09252336438836561
248,-0.004662012888467348
249,-0.023641761939122485
250,0.0375630998117078
251,0.0
252,0.10489957536102246
253,0.14641484267922866
254,-0.17162626096630929
255,-0.2891015048410175
256,-0.3106715699752831
257,-0.32721288120091696
258,-0.26991958279375594
259,-0.27369578613693335
260,-0.11778301250823997
261,0.09909088299014668
262,-0.019048191342248
263,-0.0594234086968628
264,0.04000532661049938
265,-0.08167801432674437
266,-0.0889474662243186
267,-0.04762803764495782
268,-0.05001040806684709
269,-0.10821355533621135
270,-0.12136082013791927
271,-0.03278981207030629
272,0.0
273,0.03278981207030629
274,0.17693065584871892
275,0.2177234309659173
276,0.7765286721077105
277,0.31481071283273687
278,0.02877896247932865
279,-0.23026100071934685
280,-0.21868917913943475
281,-0.23712976355499404
282,-0.11954513276469725
283,0.015748354487981064
284,0.04580952903502644
285,0.5402394466750817
286,0.7725207213055816
287,0.33331175715647543
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,-0.34543311719905656
301,0.047628047098538406
302,0.019194446519270603
303,-0.12973631638874128
304,-0.008695706589475272
305,0.0
306,0.017316449261793654
307,0.0
308,-0.03493804983529092
309,-0.251314415582494
310,-0.3049735491853207
311,-0.3489528654740952
312,0.6071342558900392
313,-0.13438718209550826
314,-0.0709517309360237
315,0.0
316,-0.007380106752960192
317,-0.045462370631451865
