,PM2.5_Scaled
396,0.49795159625635055
397,0.48789954623333204
398,0.4623989986814233
399,0.4544296040042499
400,0.46487197803617986
401,0.4735567833619983
402,0.4607824364123044
403,0.4505369242117845
404,0.4505369242117845
405,0.42660626132575413
406,0.38229566162603085
407,0.3838075057142898
408,0.4089533949549465
409,0.45446250732567706
410,0.49060795100464605
411,0.5211687385296708
412,0.48294257568491494
413,0.4485715843952074
414,0.4052352600979265
415,0.4548280065333842
416,0.33719817906020716
417,0.33017416442045566
418,0.4367517784477048
419,0.4875729689138859
420,0.4999632715184817
421,0.48051927849622894
422,0.45192104158890234
423,0.41769716790046746
424,0.39604966131458397
425,0.42351693686896735
426,0.5798630881020477
427,0.4804860129193224
428,0.4605497193560612
429,0.3627561267097243
430,0.372487600613088
431,0.4017216056459888
432,0.3943529640459857
433,0.41079577384198795
434,0.4389168617604794
435,0.4505369242117845
436,0.46900234858920775
437,0.46615629112001356
438,0.45924928635086343
439,0.5623742697521887
440,0.45740564994947436
441,0.44193626442033396
442,0.43824352233681235
443,0.5154928740177266
444,0.5482219308761913
445,0.503031605261361
446,0.442355827673324
447,0.44935726047952795
448,0.4690874623714465
449,0.5013791539603214
450,0.5280941936544901
451,0.2526725066490069
452,0.4153578539928565
453,0.41722431056620246
454,0.4579687631539488
455,0.486133544129517
456,0.42660752504045096
457,0.4689374067629026
458,0.4802205440326499
459,0.47980410241948607
460,0.4734926480199192
461,0.4825648669288666
462,0.4359199351315735
463,0.41874995395765785
464,0.38439435462902044
465,0.3305860567919791
466,0.4289710652620105
467,0.5379648246232351
468,0.48194579328387943
469,0.4634199527981411
470,0.467216673247381
471,0.4974946824232308
472,0.4236800955892261
473,0.44259265890087135
474,0.5667941372770303
475,0.4062775163861544
476,0.4574291737951653
477,0.44248673084563034
478,0.44821301083537174
479,0.45632670446182383
480,0.4317701294687943
481,0.4784309779085286
482,0.4823008200903281
483,0.4763970019393684
484,0.46641599689086943
485,0.4056033100421978
486,0.42534797302302096
487,0.3362983377190888
488,0.415522705427671
489,0.39127717573445103
490,0.3910646622001093
491,0.4802504339064007
492,0.5051669515756925
493,0.5241499033312695
494,0.5097966730248713
495,0.4864898120150368
496,0.40833393925627287
497,0.43521209431578095
498,0.465861754107788
499,0.47268297914534757
500,0.4143610886176071
501,0.38279914915719765
502,0.4293813486708586
503,0.4627345239801304
504,0.4797966999627209
505,0.4888367612198071
506,0.49944695624398117
507,0.4885050345275132
508,0.47960256984413063
509,0.48097723586833785
510,0.48845515201198264
511,0.46803483375650917
512,0.40196614897038335
513,0.27988723356685835
514,0.4210566562678817
515,0.4253382916591913
516,0.3926054376609173
517,0.3889266132896203
518,0.38252693237713065
519,0.40916077082812025
520,0.39217481550190425
521,0.4369012295885526
522,0.5748251124072847
523,0.6818533825372417
524,0.47058445073137095
525,0.430489397692198
526,0.4898636810736755
527,0.5008915495221874
528,0.5392161323245465
529,0.49139679981305584
530,0.4505369242117845
531,0.4505369242117845
532,0.4505369242117845
533,0.4505369242117845
534,0.4505369242117845
535,0.4505369242117845
536,0.4505369242117845
537,0.4191524012335413
538,0.43237844680863324
539,0.44662912706483315
540,0.3744486380260969
541,0.3861168597768886
542,0.3644795929619417
543,0.31343133512505145
544,0.3672218369980875
545,0.3870869273196531
546,0.5163657734756308
547,0.5684700938920833
548,0.5366039318314825
549,0.48567078775415157
550,0.4792128524884814
551,0.48812115950667084
552,0.4732952619662853
553,0.4225782678080461
554,0.4083012677847917
555,0.43171273571643165
