Date,City,AQI,AQI_Stationary
2025-01-09 03:00:00+00:00,New York,24.8,2.8000000000000007
2025-01-09 04:00:00+00:00,New York,25.599998,2.399999000000001
2025-01-09 05:00:00+00:00,New York,26.800001,2.000001000000001
2025-01-09 06:00:00+00:00,New York,27.6,1.2000020000000013
2025-01-09 07:00:00+00:00,New York,28.4,1.1999999999999993
2025-01-09 08:00:00+00:00,New York,28.800001,0.8000010000000017
2025-01-09 09:00:00+00:00,New York,29.2,0.8000000000000007
2025-01-09 10:00:00+00:00,New York,28.800001,0.8000010000000017
2025-01-09 11:00:00+00:00,New York,28.4,1.1999999999999993
2025-01-09 12:00:00+00:00,New York,27.6,1.2000020000000013
2025-01-09 13:00:00+00:00,New York,27.6,0.40000000000000213
2025-01-09 14:00:00+00:00,New York,28.0,-0.3999999999999986
2025-01-09 15:00:00+00:00,New York,28.0,-1.1999999999999993
2025-01-09 16:00:00+00:00,New York,28.4,-1.2000000000000028
2025-01-09 17:00:00+00:00,New York,28.800001,-1.1999989999999983
2025-01-09 18:00:00+00:00,New York,28.800001,-1.5999989999999968
2025-01-09 19:00:00+00:00,New York,28.4,-2.0
2025-01-09 20:00:00+00:00,New York,27.6,-2.799999999999997
2025-01-09 21:00:00+00:00,New York,27.2,-2.8000000000000007
2025-01-09 22:00:00+00:00,New York,26.800001,-2.0
2025-01-09 23:00:00+00:00,New York,26.399998,-0.40000300000000166
2025-01-10 00:00:00+00:00,New York,26.800001,1.6000010000000024
2025-01-10 01:00:00+00:00,New York,26.800001,2.000001000000001
2025-01-10 02:00:00+00:00,New York,26.800001,2.000001000000001
2025-01-10 03:00:00+00:00,New York,26.800001,2.000001000000001
2025-01-10 04:00:00+00:00,New York,27.6,2.000002000000002
2025-01-10 05:00:00+00:00,New York,28.4,1.5999989999999968
2025-01-10 06:00:00+00:00,New York,29.2,1.5999999999999979
2025-01-10 07:00:00+00:00,New York,29.6,1.2000000000000028
2025-01-10 08:00:00+00:00,New York,29.6,0.7999989999999997
2025-01-10 09:00:00+00:00,New York,29.2,0.0
2025-01-10 10:00:00+00:00,New York,28.0,-0.8000010000000017
2025-01-10 11:00:00+00:00,New York,26.399998,-2.0000019999999985
2025-01-10 12:00:00+00:00,New York,25.599998,-2.000002000000002
2025-01-10 13:00:00+00:00,New York,26.0,-1.6000000000000014
2025-01-10 14:00:00+00:00,New York,26.399998,-1.600002
2025-01-10 15:00:00+00:00,New York,26.800001,-1.1999989999999983
2025-01-10 16:00:00+00:00,New York,28.0,-0.3999999999999986
2025-01-10 17:00:00+00:00,New York,29.6,0.7999989999999997
2025-01-10 18:00:00+00:00,New York,30.0,1.1999989999999983
2025-01-10 19:00:00+00:00,New York,28.800001,0.40000100000000316
2025-01-10 20:00:00+00:00,New York,26.399998,-1.2000020000000013
2025-01-10 21:00:00+00:00,New York,22.8,-4.399999999999999
2025-01-10 22:00:00+00:00,New York,21.32,-5.4800010000000015
2025-01-10 23:00:00+00:00,New York,28.52,2.1200019999999995
2025-01-11 00:00:00+00:00,New York,32.2,5.399999000000001
2025-01-11 01:00:00+00:00,New York,32.84,6.039999000000002
2025-01-11 02:00:00+00:00,New York,33.64,6.839998999999999
2025-01-11 03:00:00+00:00,New York,33.96,7.159998999999999
2025-01-11 04:00:00+00:00,New York,33.28,5.68
2025-01-11 05:00:00+00:00,New York,32.120003,3.7200029999999984
2025-01-11 06:00:00+00:00,New York,31.04,1.8399999999999999
2025-01-11 07:00:00+00:00,New York,30.2,0.5999999999999979
2025-01-11 08:00:00+00:00,New York,29.44,-0.16000000000000014
2025-01-11 09:00:00+00:00,New York,29.039997,-0.16000299999999967
2025-01-11 10:00:00+00:00,New York,29.68,1.6799999999999997
2025-01-11 11:00:00+00:00,New York,30.679998,4.280000000000001
2025-01-11 12:00:00+00:00,New York,31.199999,5.600000999999999
2025-01-11 13:00:00+00:00,New York,27.560001,1.5600009999999997
2025-01-11 14:00:00+00:00,New York,26.949999,0.5500009999999982
